yorum,duygu
"Bu telefon harika, bayıldım!",pozitif
Ürün çok kalitesiz ve bozuldu.,negatif
Paketleme çok iyiydi.,pozitif
Kesinlikle tavsiye etmiyorum.,negatif
Beklediğimden daha kötü.,negatif
"Çok memnun kaldım, teşekkürler.",pozitif
"Kargo zamanında geldi, memnun kaldım.",pozitif
Ürün beklentimin altında kaldı.,negatif
"Harika bir ürün, herkese öneririm.",pozitif
"Berbat, iade etmek zorunda kaldım.",negatif
Çok iyi paketlenmişti.,pozitif
"Ürün çalışmadı, param boşa gitti.",negatif
Satıcı çok ilgiliydi.,pozitif
"Kötü kalite, kesinlikle alınmaz.",negatif
Tek kelimeyle mükemmel.,pozitif
Hayal kırıklığına uğradım.,negatif
Harika bir deneyimdi.,pozitif
Gerçekten çok kötüydü.,negatif
Ürün anlatıldığı gibiydi.,pozitif
Hayal kırıklığı yaşadım.,negatif
"Çok kaliteli, tekrar alırım.",pozitif
İade etmek zorunda kaldım.,negatif
Kullanımı çok kolaydı.,pozitif
"Berbat bir ürün, param çöp oldu.",negatif
Kesinlikle tavsiye ederim.,pozitif
Fotoğraftakiyle alakasız geldi.,negatif
"Beğendim, işimi gördü.",pozitif
Eksik parça geldi.,negatif
"İlgili satıcı, güzel ürün.",pozitif
Bozuk geldi.,negatif
Çok başarılı bir ürün.,pozitif
Kötü paketleme.,negatif
"Süper kalite, hızlı kargo.",pozitif
Kırık geldi.,negatif
Görselden daha iyi.,pozitif
Hiç memnun kalmadım.,negatif
